_id,subject.name,subject.value,results.concat_with_reduce().performance,results.concat_with_reduce().rme,results.concat_with_join().performance,results.concat_with_join().rme,results.concat_with_toString().performance,results.concat_with_toString().rme,results.concat_with_for_loop_and_+_operator.performance,results.concat_with_for_loop_and_+_operator.rme,results.concat_with_for_and_concat_function.performance,results.concat_with_for_and_concat_function.rme,results.concat_recursive_with_+_operator.performance,results.concat_recursive_with_+_operator.rme,results.concat_tail_recursive_with_+_operator.performance,results.concat_tail_recursive_with_+_operator.rme,results.concat_recursive_with_concat_function.performance,results.concat_recursive_with_concat_function.rme
60116804289a209369090193,array_size,986,187914.91584681993,0.9705349933262214,79525.11715874549,0.2396859985336791,16624.437867395074,2.143066577083823,187627.57470274612,4.059564552539494,185328.57538182204,1.4919124486862643,71966.78652195219,1.323514692814768,73795.8590629159,0.8513178906687471,71294.53702479835,2.3421208566266833
60116804289a209369090196,array_size,772,229232.27165753677,7.035945941413719,98525.32055167426,6.357854909440267,21231.258905067127,0.9321579519516874,225146.85056242702,12.056866909622482,237852.3008302399,1.1247962442396464,84926.22493615259,2.561575255045809,87849.36873324485,0.4798459524215976,93175.2795435255,0.30110659633198444
6011681e289a2093690901a7,array_size,206,769273.683868351,29.7846737069964,358974.8661027823,2.769769624814515,78127.32191927177,3.6991349941696594,855769.4095760548,3.3077027464360023,851643.5219314768,1.1393799085419039,390033.6733889635,2.0469720351299134,401143.5626334986,0.546704978010032,397608.34695578367,0.2609330539429739
6011681e289a2093690901a3,array_size,604,308249.7178549553,0.8004434515108164,126793.3170916116,2.2554921695229857,26812.122100379944,5.695915333961135,301486.65854740655,8.849944268195078,303560.3183428025,1.405540117992102,121275.7192596303,1.028827539239984,123109.66240260896,0.6567299340896972,123289.64703958743,0.2538810523568531
6011681e289a2093690901aa,array_size,506,362383.7169178508,1.3110955734848444,151969.54700972544,0.9219280440345926,32227.96536741218,2.524860544080832,350270.08534945763,5.841547551371669,369693.9709470712,6.9353051714965535,143071.64383160343,1.378572482997124,150088.99218507812,0.3632256878014133,147966.78314190265,0.2865207250052337
6011681e289a2093690901ad,array_size,468,388186.60692262213,1.139428616017436,161899.48494867262,5.4392037906562285,35039.554625252786,3.0896382753105334,398379.9724691227,3.9382068954403064,378898.3950491938,1.419182297503273,158141.35989156057,1.171364335344198,160465.845160333,0.686071724782671,160570.87702463486,0.28840518257946746
6011681e289a2093690901ae,array_size,84,1827586.9493062105,9.146063147554234,843331.175735987,1.3805086380009233,174148.82709850953,11.253444828141607,1995265.3801273878,1.6240065966616288,1949272.0023321195,1.8569847298967066,876414.5109563448,2.7025847765021918,877334.3862378238,2.2034513506043374,930933.5570729979,1.8282467457346925
6011681e289a2093690901b1,array_size,358,499948.8661337401,4.540124193657927,214336.3408462681,0.3807017330858593,45292.598000978585,1.683974972236887,504483.4353849708,1.1196436956135476,489103.90429644537,4.279258962180954,211536.6654217301,1.543852305604731,219281.07026096832,0.3552735524384912,216875.40707301704,1.136557918189379
6011681e289a2093690901a8,array_size,78,2107187.5622483282,2.7450742305523823,903429.0589408273,1.1262705539713085,200266.41632144176,1.5210099461010052,2106233.1174741243,2.871641851161176,2159906.124643994,1.3618834679708136,981333.207172407,1.217345951080854,991389.9713482113,1.326195096900971,995426.187477957,1.3093854397595925
6011681e289a2093690901a9,array_size,630,266452.7677837957,0.874400217926057,123385.50233226104,0.7835577370075082,26186.046832205746,1.2731875628989697,288905.18601313216,4.939995769069053,308887.6467014933,1.0193107292224952,108304.26836667865,1.1928852500000975,113835.21390302546,0.37984139715674026,111836.92147236783,0.3410440183802481
6011681e289a2093690901af,array_size,838,213728.24734030108,2.1416503087076633,89491.42425757204,2.549937523189727,19667.00174932934,1.027236389633818,216241.7720719046,9.550918192971892,217258.7566585526,0.8525853340726568,84122.42021279043,0.6319357485817522,84921.08173290614,0.5634168612470097,84781.3012522873,0.29010140289914466
6011681e289a2093690901ab,array_size,840,216685.78703120069,1.7412773645219857,92832.7276599836,0.6035645837934872,19304.798231524754,4.7752596296104866,220482.78200210162,1.1663909565084873,217950.58834761425,3.131580453164149,84265.51389169272,0.6601256303195785,87749.0012393037,0.3312053654111759,85919.15077397559,0.3134887560369043
6011681e289a2093690901b2,array_size,786,230691.76373678984,2.0967620677753334,99233.05145328969,0.5740395923549626,20115.412632986565,11.235374128672948,224341.54600423618,8.063598462075158,235168.7492838021,0.9862422236241573,89519.59307660568,3.034222749053202,93579.65137905089,0.4473794946426757,91777.92377528733,0.4569848457293143
6011681e289a2093690901ac,array_size,168,994644.1996012954,5.536151357730243,436393.5007933395,0.7919341649657105,95855.38483727738,1.337246992491868,1000495.1559831653,7.1261778929929465,1100186.955635723,1.6146293619888765,438386.1641488328,12.422588629313216,474278.1932152794,1.762033845266598,483939.15131495363,0.2735389939631825
6011681e289a2093690901b0,array_size,170,988632.2980777933,3.6643012813203724,432491.13357184816,0.25136972943585734,93730.07590088354,3.648441899649703,1003313.7839805061,6.185818689575905,1053681.6782892763,4.876473849122454,461524.91093680577,2.1946765867697264,476507.6317836523,0.5538568547718009,472840.54591630405,1.1934125801314852
6011681e289a2093690901b3,array_size,572,324460.85911246703,1.0492190791515623,135479.48776368392,1.2144763511528298,28304.210558216302,3.950202368573906,319318.96439011267,4.007906606909669,317528.703168991,1.5109359662998367,123928.9416029835,2.3394392884142703,131567.76001307287,0.6815834016579111,128531.54169518987,0.425525940625298
6011681e289a2093690901b4,array_size,146,1153652.9586126758,4.368879330167951,493783.41885487695,1.551414552062421,110476.97154529279,1.035849988126496,1133403.6047679125,11.508392712270718,1182404.6170482677,1.1117802478120893,555949.555324427,0.6364981518424424,555459.2408646616,0.5481934267605079,549352.867328564,2.031196488906272
60116836289a2093690901c5,array_size,694,265896.29820215097,0.9364180910888287,111183.65537098568,1.6407211479730448,23423.963136183775,3.5006833718264607,252804.61236196588,8.407682716675337,264439.0530890678,0.9936424869189074,105218.9205082611,0.8171913573136692,106759.44958658137,0.552989678783099,103582.54679421612,0.47793708411016056
60116836289a2093690901c6,array_size,308,584343.7776141707,2.691998100659816,248618.92469372676,0.2953486346591419,53275.58777703815,0.6383346690992062,583288.7527718149,1.8987113959127138,609836.6425027797,1.1300253074446056,250768.37145527438,0.42156675755206763,257796.48103849898,1.3119449183150693,255080.40485761443,0.6238600225532949
60116836289a2093690901c4,array_size,920,196321.33347483055,1.6986004723727048,84471.85027320746,1.2671947568454272,17679.618232808793,2.1710786741773824,205594.1210624035,7.391493108157045,197080.5032675642,1.0226717810382386,72793.12999206141,0.62796339168679,71715.38167532538,0.599223073926965,75954.42147040636,2.592466383710647
60116836289a2093690901cd,array_size,888,202937.7823325477,2.171345205621931,87826.02506779805,0.26623649449823367,18459.813719476453,1.122572780029753,207156.53028822262,1.6834260450512795,206881.65995949163,4.02092514476155,79765.09086052288,0.961777689440692,82985.21109863516,0.359031777757602,81034.75761663624,0.28807695982328974
60116836289a2093690901d0,array_size,750,245586.31426943353,0.9530825327638289,88413.12376546097,12.20021172477748,21894.528806489747,1.8498788244158304,242404.04994001592,3.998862916180626,243039.56693704828,1.194296937269576,95516.54260146666,1.3601759642552305,95532.57828868623,0.3049632786189806,95108.65207577535,0.7527955137802923
60116836289a2093690901c9,array_size,340,540677.994739055,1.7780858723695971,221412.89470952714,1.6491101412809257,48475.08628338205,1.8707347951908468,527102.534056316,2.8961684202272187,525864.8833619247,9.951313236755656,222453.12220434396,0.48590014057430164,226026.8506370543,0.2772703488988215,226364.98691758674,0.6142582768130699
60116836289a2093690901c8,array_size,346,516783.7002684841,4.736799213892665,213208.81147111589,3.254419173569032,42742.34214363322,26.749858443635315,522498.6847511635,3.1782008719133525,520555.47587299894,9.030378676495845,215109.3154333095,0.5210139901148771,220656.62185206593,0.19809863400099403,219923.03562469935,0.7475177306102303
60116836289a2093690901cb,array_size,906,200853.9651154396,1.142346195860882,86077.19401898999,0.258060369291783,16559.860716984647,14.052235890940903,198321.98784561668,5.160175761305618,202168.25615211076,1.1885579441307867,77324.28516213257,1.646977685980549,80236.94887292953,0.91483048653139,78508.10405083884,0.2899243349430632
60116836289a2093690901cc,array_size,824,219290.78831922438,2.0641292536138374,94217.00006819204,1.8198175391184346,19991.71766443323,1.189133090890674,220441.2941272307,4.747526421128458,239344.35474479746,0.39995538253139373,85603.05151078069,0.3919580618912418,89106.91199005426,0.34011893777760804,87410.82212459212,0.2535930584934247
60116836289a2093690901d1,array_size,132,1276562.9317738123,0.8135666704475255,544207.0206354328,3.662992477052488,119655.20355150734,5.010631601321418,1210193.3138760892,12.79888468578046,1362627.7712429557,1.8348326235234118,596804.0659220708,1.6884292327467318,585263.0075748893,9.211504142621777,607673.9163083794,1.4932830394890155
60116836289a2093690901ca,array_size,598,308498.36836151674,0.8533094490441386,128546.80833269174,1.0166394910637568,26937.95067830438,3.5028421584858798,306283.776445078,1.7033877880171775,302546.2778817861,1.9774230710285015,124416.38361927106,0.5314120525006484,125750.60204605499,0.4926343856406251,122896.7223240399,0.24520712628353808
60116836289a2093690901d2,array_size,828,219825.15746774268,1.7229802371536078,93481.90132806492,1.3864406491288088,19866.16203951784,1.3373422860690574,221759.37941945583,5.408450677287987,237834.93218113092,0.568743873416805,84873.54206401942,0.8946956204013182,89314.97760585653,0.35353650518180174,87091.71766114382,0.24299558107027563
60116836289a2093690901c7,array_size,518,357735.9765047094,0.8088464376127421,136921.77060150105,17.15685900840161,31250.180755866913,3.932755794193278,361020.30028662534,3.8479672218340752,357263.5709594542,6.819983971580905,139688.39697392855,1.616486937032584,146021.55714777613,0.46264658387209945,145334.71757109268,0.2684670452451002
60116836289a2093690901ce,array_size,420,437227.19007952226,1.6547744802353628,182162.73854118798,0.6723727687169307,39466.43854253948,0.36321321630507175,423496.199748611,1.0937912108933971,439680.0713015175,0.6193292764070434,169138.2563473693,0.37351744889937016,166775.89988519577,0.8076006639359898,182179.79565176094,0.6956754792234536
60116836289a2093690901cf,array_size,134,1235964.4366413006,8.16018066926306,546280.7012099948,0.24379898626893234,119867.86152735399,1.1387658652126387,1345277.3222109997,2.58810067278165,1341197.4532673243,2.939966435317736,595291.0238874288,0.3759119628125641,602479.0802657746,0.36924833523871836,599888.9461057588,1.1188588130511616
6011684b289a2093690901eb,array_size,26,5024759.185885862,10.444480230221592,2519255.2595638065,0.32284591741260843,533264.5238023143,0.7276849042961494,5265121.180891223,5.942623081068802,5358436.15914515,2.2208412393730184,2775436.531068692,1.7553081562963373,2660751.619799364,0.7787003393146357,2632928.8713579015,2.0092883658740144
