_id,results.Array_sum_reduce.performance,results.Array_sum_reduce.rme,results.Array_sum_for.performance,results.Array_sum_for.rme,results.Array_sum_for_of.performance,results.Array_sum_for_of.rme,results.Array_sum_recursive.performance,results.Array_sum_recursive.rme,results.Uint32_sum_reduce.performance,results.Uint32_sum_reduce.rme,results.Uint32_sum_for.performance,results.Uint32_sum_for.rme,results.Uint32_sum_for_of.performance,results.Uint32_sum_for_of.rme,results.Uint32_sum_recursive.performance,results.Uint32_sum_recursive.rme,subject.name,subject.value
5fd3cdfb2010da421cf30ae0,1397003.4831157392,2.545917579664361,1433707.3751853805,0.7515329971820252,1075366.5092538253,0.2840307517688328,130353.9302470095,0.1809036677951781,112484.04998462589,0.23279635948903746,1800187.0394363513,0.17131455912057528,818231.0483153978,1.0006633775022378,121463.32562030281,0.5697495533726957,array_size,841
5fd3cdfb2010da421cf30ade,2228114.305758134,1.3347776414521884,2331502.1639774926,0.9343785250007434,1735097.4413338394,0.8742931098121566,219242.345593468,1.6848928505323046,181899.3026085072,0.6931932930946716,2979595.3401022097,0.574591093400469,1296773.9608815198,1.3022490438555192,208063.34837118743,0.2800979129082612,array_size,514
5fd3cdfb2010da421cf30adf,1391850.4418142294,0.6522726480051431,1306640.9908810598,21.310444628520365,1063294.2707020275,0.48772956482786595,128192.63943960454,0.9173189315341468,111760.01311316661,0.14535139738647393,1782950.831674795,0.28055757828710065,810157.5748186364,0.9687844423601566,120201.70396634734,0.29033167496620327,array_size,847
5fd3ce542010da421cf30ae6,2012157.1934175,11.222333959947292,2204293.460141828,0.3402584989866828,1644569.0896755238,0.518639725550327,205836.9205253998,0.517337178621903,172397.48114639157,1.7013727267586363,2804617.1107200203,0.22751175599855888,1217495.7013564445,4.902578058221078,194554.1326702059,0.2286563535098278,array_size,543
5fd3ce542010da421cf30ae7,1986647.2797953223,11.857445957476008,2229444.5430838736,0.19846152982214987,1661433.864959566,0.39956111171676434,208909.8750125769,1.8402580726695972,171023.49974500688,1.6360451515552124,2811417.935090469,0.4769734823125239,1263758.6631791166,1.3278254205175988,196301.5891034342,0.14232244337265412,array_size,539
5fd3ce542010da421cf30ae9,1609361.7260970138,10.530441462984452,1743637.7745017938,0.24698938795074493,1290561.0659993957,0.5696528242944022,158360.0189291519,0.5109336945008307,134032.34838213655,1.3025630719907682,2177339.5947326687,0.20055004181409744,972204.4064425067,1.8040725776211857,148552.87135792713,0.24722498970589576,array_size,697
5fd3ce542010da421cf30ae5,1607166.4754370383,6.2055191727493275,1700943.0686236403,1.513458915725069,1282555.0225851145,0.320302699176744,152848.2020286823,1.387525788079044,133775.18246090668,0.7804898428953213,2167003.907858238,0.1373615004417106,976583.2660243355,1.4779829225153318,145837.90934458032,0.34014607751518733,array_size,704
5fd3ce8e2010da421cf30af8,2050277.0353843954,11.264055634979306,2279280.29029046,0.26808541326445257,1692046.8939970676,0.9605183926141563,212546.84412456895,0.9612025900016654,179397.5638939673,0.16884143452037353,2913302.996897863,0.18650110639885095,1270730.8319584667,1.3524621016855631,201538.6592329309,0.2578602009295886,array_size,526
5fd3ce8e2010da421cf30af6,1391457.0015029358,1.437659809617871,1447641.880549639,1.2578762397104657,1088166.434317818,0.24123319238364316,129106.58297351722,1.5376481555859796,112352.66654006537,0.47067423191965985,1817667.4931761543,0.13244530347979716,834771.2132943452,1.3879929666847453,122254.81496606492,0.3934143392256258,array_size,833
5fd3ce8e2010da421cf30b00,8056304.844571024,13.290498473095754,8862965.024651231,0.6938984399148234,6896960.667064296,0.37993379776359987,1073498.1136375577,0.29821574123212224,748607.334562184,0.6418078814398477,11466711.557446921,1.3740766728156055,4946112.279780853,5.531127639137864,990044.9807425415,0.3152899858738267,array_size,119
